Subdivision_id,Num_trees
292,2
274,1
205,1
283,1
205,0
217,1
239,1
239,1
257,1
217,1
198,2
199,1
888,1
205,1
198,1
205,1
262,1
205,1
205,1
195,1
194,1
283,1
205,1
239,1
206,1
205,2
239,1
198,1
205,1
931,1
205,1
691,1
281,1
205,1
205,1
205,1
235,2
205,1
541,1
205,1
281,1
205,3
205,1
480,1
281,1
476,1
211,1
283,1
205,1
205,1
205,1
298,1
205,1
205,1
180,1
241,1
205,1
888,1
205,1
205,1
206,1
205,1
205,1
180,1
236,1
205,1
205,1
205,1
205,1
281,1
634,1
205,1
205,1
841,1
205,1
235,1
292,1
755,1
235,1
205,1
205,1
180,1
198,1
634,1
911,1
205,1
846,1
205,1
205,1
561,1
205,1
205,1
172,1
205,1
281,1
205,1
809,1
292,1
259,1
205,1
205,1
257,1
198,1
262,1
721,1
205,1
205,1
205,1
292,1
235,1
205,1
564,1
205,1
727,1
606,1
239,1
262,1
239,1
205,1
205,1
205,1
205,1
281,2
727,2
289,1
205,2
205,1
205,1
205,1
292,0
303,1
239,1
205,1
303,1
172,1
205,1
205,1
262,1
206,1
205,1
205,1
281,1
262,1
205,1
205,1
905,1
198,2
219,1
205,1
666,1
205,1
205,1
166,1
205,1
281,1
205,1
205,1
205,1
205,1
205,1
281,1
205,1
205,1
205,1
289,1
727,1
219,1
205,1
483,1
219,1
817,1
239,1
195,1
257,1
205,1
228,1
205,1
205,1
473,1
180,1
205,1
205,1
469,1
205,1
205,1
205,1
746,1
205,1
180,2
484,1
205,1
195,1
239,2
257,1
180,1
205,1
205,1
205,1
644,1
257,1
205,1
697,1
591,0
205,1
181,1
855,1
180,1
670,1
473,1
624,1
205,1
236,1
197,1
219,1
727,1
205,1
205,1
205,1
281,1
205,1
205,1
205,1
906,1
205,1
205,1
205,1
205,1
180,1
219,1
903,1
903,0
205,1
214,1
205,1
205,1
205,1
550,1
219,1
219,1
205,1
550,1
205,1
203,1
205,1
639,1
292,1
196,2
163,1
235,1
205,1
205,1
205,1
205,1
888,1
476,2
174,1
281,1
181,1
205,1
205,1
205,1
281,1
755,1
205,1
205,1
303,1
205,1
205,1
205,0
205,1
812,1
205,1
205,1
205,1
205,1
181,1
181,1
205,1
550,1
205,1
205,1
205,1
205,1
205,1
205,1
205,1
205,1
205,1
860,1
205,0
262,1
263,1
211,1
205,1
262,1
205,1
205,1
205,1
205,1
205,1
205,1
863,1
476,2
205,1
205,1
301,1
205,1
727,1
205,1
301,1
843,1
205,1
205,1
205,1
205,1
205,1
205,1
295,1
917,1
205,1
205,1
755,1
271,1
730,1
223,1
205,1
866,1
239,1
739,1
198,1
205,1
257,1
205,1
205,1
180,1
749,1
163,1
235,1
867,1
219,1
727,1
899,1
205,1
205,1
205,1
787,1
180,1
205,1
173,1
205,1
205,1
205,1
169,1
205,1
264,1
920,1
205,1
900,1
198,1
213,1
205,2
205,1
205,1
205,1
236,1
259,1
235,1
205,1
205,1
205,1
292,2
205,1
205,1
205,1
301,1
301,1
213,1
205,2
205,1
205,1
831,1
205,1
205,1
205,1
257,2
236,1
223,1
205,1
879,1
205,1
205,1
205,1
205,1
239,1
219,1
205,1
257,2
205,1
205,1
205,1
896,1
205,1
205,1
205,1
727,1
205,1
205,1
205,1
205,1
787,1
205,2
205,1
915,1
573,1
205,1
205,3
205,1
301,1
205,1
205,1
231,1
205,1
205,1
753,1
487,1
205,1
205,2
205,1
205,1
163,1
206,1
762,1
205,1
205,1
180,1
205,1
205,1
205,1
205,1
172,1
205,1
831,1
205,1
205,1
863,2
205,1
205,1
281,1
205,1
198,1
477,1
484,2
281,1
181,1
283,1
921,1
205,1
205,1
281,1
205,1
174,1
205,1
264,1
259,1
205,1
180,1
727,1
205,1
205,1
205,1
205,1
239,1
831,2
205,1
814,1
205,1
283,1
205,1
888,1
205,1
205,1
550,1
205,1
205,1
205,1
205,1
197,1
205,1
205,1
205,1
205,1
841,1
205,1
888,1
202,1
205,1
205,1
